reference_material,detected_material,areas_reference,areas_detected,num_matched_peaks,start_point_reference,last_point_reference,start_point_detected,last_point_detected
fe_cr,cr,"[6.1125, 6.0705]",[6.093],0,0.0,145.0,1895,2041
fe_cr,fe,"[6.1125, 6.0705]",[5.8987],0,0.0,84.0,1966,2110
fe_cr,v,"[6.1125, 6.0705]",[5.8983],0,72.0,143.0,1786,1930
fe_cr,cao,"[6.1125, 6.0705]","[5.9143, 6.1764]",0,,,1291,1695
fe_cr,mgo,"[6.1125, 6.0705]","[6.1427, 6.0599]",0,338.0,443.0,1520,1964
fe_cr,zn,"[6.1125, 6.0705]","[6.0902, 5.8954, 6.0539]",0,364.0,492.0,1494,1987
fe_cr,ni,"[6.1125, 6.0705]",[5.8978],0,0.0,98.0,1952,2096
fe_cr,li20,"[6.1125, 6.0705]","[6.0498, 6.0556]",0,,,1359,1774
fe_cr,bao2,"[6.1125, 6.0705]","[6.1666, 6.1067, 5.9012, 6.0674, 6.169, 5.9293]",0,867.0,1059.0,991,2227
fe_cr,mn,"[6.1125, 6.0705]",[6.2157],0,0.0,127.0,1923,2070
fe_cr,fe,"[6.3027, 6.2706]",[6.065],0,0.0,127.0,1909,2054
fe_cr,cr,"[6.3027, 6.2706]",[6.0626],0,18.0,144.0,1852,1997
fe_cr,nao3,"[6.3027, 6.2706]","[6.0863, 6.202, 5.9162, 6.6791, 6.0813, 6.1717, 5.9158, 6.0447]",0,1052.0,1218.0,818,2154
fe_cr,co,"[6.3027, 6.2706]","[5.9214, 6.1853, 6.0965, 6.22, 6.0869, 5.8536, 6.0403, 6.2389, 5.9255, 5.93, 5.9023, 5.8771, 5.8429, 6.1021]",0,1870.0,2036.0,0,2249
fe_cr,co,"[6.3027, 6.2706]",[5.9084],0,0.0,63.0,1973,2117
fe_cr,cu2o,"[6.3027, 6.2706]","[6.1735, 6.0916, 6.0479]",0,710.0,785.0,1160,1946
fe_cr,al2o3,"[6.3027, 6.2706]","[6.1448, 5.9009, 5.9019, 5.8992, 5.9008]",0,916.0,1082.0,954,2129
fe_cr,ti,"[6.3027, 6.2706]","[5.8975, 6.1415, 6.0812]",0,,,1459,1857
fe_cr,ti,"[6.3027, 6.2706]","[6.1854, 5.8995]",0,276.0,442.0,1594,2051
fe_cr,cr,"[6.3027, 6.2706]",[6.093],0,0.0,141.0,1895,2041
fe_cr,fe,"[6.3027, 6.2706]",[5.8987],0,0.0,70.0,1966,2110
fe_cr,v,"[6.3027, 6.2706]",[5.8983],0,84.0,143.0,1786,1930
fe_cr,cao,"[6.3027, 6.2706]","[5.9143, 6.1764]",0,,,1291,1695
fe_cr,mgo,"[6.3027, 6.2706]","[6.1427, 6.0599]",0,350.0,443.0,1520,1964
fe_cr,zn,"[6.3027, 6.2706]","[6.0902, 5.8954, 6.0539]",0,376.0,492.0,1494,1987
fe_cr,ni,"[6.3027, 6.2706]",[5.8978],0,0.0,84.0,1952,2096
fe_cr,li20,"[6.3027, 6.2706]","[6.0498, 6.0556]",0,,,1359,1774
fe_cr,bao2,"[6.3027, 6.2706]","[6.1666, 6.1067, 5.9012, 6.0674, 6.169, 5.9293]",0,879.0,1045.0,991,2227
fe_cr,mn,"[6.3027, 6.2706]",[6.2157],0,0.0,113.0,1923,2070
fe_cr,fe,"[6.0858, 6.0766]",[6.065],0,0.0,139.0,1909,2054
fe_cr,cr,"[6.0858, 6.0766]",[6.0626],0,0.0,144.0,1852,1997
fe_cr,nao3,"[6.0858, 6.0766]","[6.0863, 6.202, 5.9162, 6.6791, 6.0813, 6.1717, 5.9158, 6.0447]",0,1034.0,1230.0,818,2154
fe_cr,co,"[6.0858, 6.0766]","[5.9214, 6.1853, 6.0965, 6.22, 6.0869, 5.8536, 6.0403, 6.2389, 5.9255, 5.93, 5.9023, 5.8771, 5.8429, 6.1021]",0,1852.0,2048.0,0,2249
fe_cr,co,"[6.0858, 6.0766]",[5.9084],0,0.0,75.0,1973,2117
fe_cr,cu2o,"[6.0858, 6.0766]","[6.1735, 6.0916, 6.0479]",0,692.0,785.0,1160,1946
fe_cr,al2o3,"[6.0858, 6.0766]","[6.1448, 5.9009, 5.9019, 5.8992, 5.9008]",0,898.0,1094.0,954,2129
fe_cr,ti,"[6.0858, 6.0766]","[5.8975, 6.1415, 6.0812]",0,393.0,397.0,1459,1857
fe_cr,ti,"[6.0858, 6.0766]","[6.1854, 5.8995]",0,258.0,454.0,1594,2051
fe_cr,cr,"[6.0858, 6.0766]",[6.093],0,0.0,145.0,1895,2041
fe_cr,fe,"[6.0858, 6.0766]",[5.8987],0,0.0,82.0,1966,2110
fe_cr,v,"[6.0858, 6.0766]",[5.8983],0,66.0,143.0,1786,1930
fe_cr,cao,"[6.0858, 6.0766]","[5.9143, 6.1764]",0,,,1291,1695
fe_cr,mgo,"[6.0858, 6.0766]","[6.1427, 6.0599]",0,332.0,443.0,1520,1964
fe_cr,zn,"[6.0858, 6.0766]","[6.0902, 5.8954, 6.0539]",0,358.0,492.0,1494,1987
fe_cr,ni,"[6.0858, 6.0766]",[5.8978],0,0.0,96.0,1952,2096
fe_cr,li20,"[6.0858, 6.0766]","[6.0498, 6.0556]",0,,,1359,1774
fe_cr,bao2,"[6.0858, 6.0766]","[6.1666, 6.1067, 5.9012, 6.0674, 6.169, 5.9293]",0,861.0,1057.0,991,2227
fe_cr,mn,"[6.0858, 6.0766]",[6.2157],0,0.0,125.0,1923,2070
fe_cr,fe,"[5.9501, 6.2724]",[6.065],0,0.0,137.0,1909,2054
fe_cr,cr,"[5.9501, 6.2724]",[6.0626],0,38.0,144.0,1852,1997
fe_cr,nao3,"[5.9501, 6.2724]","[6.0863, 6.202, 5.9162, 6.6791, 6.0813, 6.1717, 5.9158, 6.0447]",0,1072.0,1228.0,818,2154
fe_cr,co,"[5.9501, 6.2724]","[5.9214, 6.1853, 6.0965, 6.22, 6.0869, 5.8536, 6.0403, 6.2389, 5.9255, 5.93, 5.9023, 5.8771, 5.8429, 6.1021]",0,1890.0,2046.0,0,2249
fe_cr,co,"[5.9501, 6.2724]",[5.9084],0,0.0,73.0,1973,2117
fe_cr,cu2o,"[5.9501, 6.2724]","[6.1735, 6.0916, 6.0479]",0,730.0,785.0,1160,1946
fe_cr,al2o3,"[5.9501, 6.2724]","[6.1448, 5.9009, 5.9019, 5.8992, 5.9008]",0,936.0,1092.0,954,2129
fe_cr,ti,"[5.9501, 6.2724]","[5.8975, 6.1415, 6.0812]",0,,,1459,1857
fe_cr,ti,"[5.9501, 6.2724]","[6.1854, 5.8995]",0,296.0,452.0,1594,2051
fe_cr,cr,"[5.9501, 6.2724]",[6.093],0,0.0,145.0,1895,2041
fe_cr,fe,"[5.9501, 6.2724]",[5.8987],0,0.0,80.0,1966,2110
fe_cr,v,"[5.9501, 6.2724]",[5.8983],0,104.0,143.0,1786,1930
fe_cr,cao,"[5.9501, 6.2724]","[5.9143, 6.1764]",0,,,1291,1695
fe_cr,mgo,"[5.9501, 6.2724]","[6.1427, 6.0599]",0,370.0,443.0,1520,1964
fe_cr,zn,"[5.9501, 6.2724]","[6.0902, 5.8954, 6.0539]",0,396.0,492.0,1494,1987
fe_cr,ni,"[5.9501, 6.2724]",[5.8978],0,0.0,94.0,1952,2096
fe_cr,li20,"[5.9501, 6.2724]","[6.0498, 6.0556]",0,,,1359,1774
fe_cr,bao2,"[5.9501, 6.2724]","[6.1666, 6.1067, 5.9012, 6.0674, 6.169, 5.9293]",0,899.0,1055.0,991,2227
fe_cr,mn,"[5.9501, 6.2724]",[6.2157],0,0.0,123.0,1923,2070
fe_cr,fe,"[6.1119, 6.0782]",[6.065],0,0.0,144.0,1909,2054
fe_cr,cr,"[6.1119, 6.0782]",[6.0626],0,12.0,144.0,1852,1997
fe_cr,nao3,"[6.1119, 6.0782]","[6.0863, 6.202, 5.9162, 6.6791, 6.0813, 6.1717, 5.9158, 6.0447]",0,1046.0,1244.0,818,2154
fe_cr,co,"[6.1119, 6.0782]","[5.9214, 6.1853, 6.0965, 6.22, 6.0869, 5.8536, 6.0403, 6.2389, 5.9255, 5.93, 5.9023, 5.8771, 5.8429, 6.1021]",0,1864.0,2062.0,0,2249
fe_cr,co,"[6.1119, 6.0782]",[5.9084],0,0.0,89.0,1973,2117
fe_cr,cu2o,"[6.1119, 6.0782]","[6.1735, 6.0916, 6.0479]",0,704.0,785.0,1160,1946
fe_cr,al2o3,"[6.1119, 6.0782]","[6.1448, 5.9009, 5.9019, 5.8992, 5.9008]",0,910.0,1108.0,954,2129
fe_cr,ti,"[6.1119, 6.0782]","[5.8975, 6.1415, 6.0812]",0,,,1459,1857
fe_cr,ti,"[6.1119, 6.0782]","[6.1854, 5.8995]",0,270.0,456.0,1594,2051
fe_cr,cr,"[6.1119, 6.0782]",[6.093],0,0.0,145.0,1895,2041
fe_cr,fe,"[6.1119, 6.0782]",[5.8987],0,0.0,96.0,1966,2110
fe_cr,v,"[6.1119, 6.0782]",[5.8983],0,78.0,143.0,1786,1930
fe_cr,cao,"[6.1119, 6.0782]","[5.9143, 6.1764]",0,,,1291,1695
fe_cr,mgo,"[6.1119, 6.0782]","[6.1427, 6.0599]",0,344.0,443.0,1520,1964
fe_cr,zn,"[6.1119, 6.0782]","[6.0902, 5.8954, 6.0539]",0,370.0,492.0,1494,1987
fe_cr,ni,"[6.1119, 6.0782]",[5.8978],0,0.0,110.0,1952,2096
fe_cr,li20,"[6.1119, 6.0782]","[6.0498, 6.0556]",0,,,1359,1774
fe_cr,bao2,"[6.1119, 6.0782]","[6.1666, 6.1067, 5.9012, 6.0674, 6.169, 5.9293]",0,873.0,1071.0,991,2227
fe_cr,mn,"[6.1119, 6.0782]",[6.2157],0,0.0,139.0,1923,2070
fe_cr,fe,"[6.093, 6.065]",[6.065],1,0.0,144.0,1909,2054
fe_cr,cr,"[6.093, 6.065]",[6.0626],0,0.0,144.0,1852,1997
fe_cr,nao3,"[6.093, 6.065]","[6.0863, 6.202, 5.9162, 6.6791, 6.0813, 6.1717, 5.9158, 6.0447]",0,1029.0,1292.0,818,2154
fe_cr,co,"[6.093, 6.065]","[5.9214, 6.1853, 6.0965, 6.22, 6.0869, 5.8536, 6.0403, 6.2389, 5.9255, 5.93, 5.9023, 5.8771, 5.8429, 6.1021]",0,1847.0,2110.0,0,2249
fe_cr,co,"[6.093, 6.065]",[5.9084],0,0.0,137.0,1973,2117
fe_cr,cu2o,"[6.093, 6.065]","[6.1735, 6.0916, 6.0479]",0,687.0,785.0,1160,1946
fe_cr,al2o3,"[6.093, 6.065]","[6.1448, 5.9009, 5.9019, 5.8992, 5.9008]",0,893.0,1156.0,954,2129
fe_cr,ti,"[6.093, 6.065]","[5.8975, 6.1415, 6.0812]",0,388.0,397.0,1459,1857
fe_cr,ti,"[6.093, 6.065]","[6.1854, 5.8995]",0,253.0,456.0,1594,2051
fe_cr,cr,"[6.093, 6.065]",[6.093],1,0.0,145.0,1895,2041
fe_cr,fe,"[6.093, 6.065]",[5.8987],0,0.0,143.0,1966,2110
fe_cr,v,"[6.093, 6.065]",[5.8983],0,61.0,143.0,1786,1930
fe_cr,cao,"[6.093, 6.065]","[5.9143, 6.1764]",0,,,1291,1695
fe_cr,mgo,"[6.093, 6.065]","[6.1427, 6.0599]",0,327.0,443.0,1520,1964
fe_cr,zn,"[6.093, 6.065]","[6.0902, 5.8954, 6.0539]",0,353.0,492.0,1494,1987
fe_cr,ni,"[6.093, 6.065]",[5.8978],0,0.0,143.0,1952,2096
fe_cr,li20,"[6.093, 6.065]","[6.0498, 6.0556]",0,,,1359,1774
fe_cr,bao2,"[6.093, 6.065]","[6.1666, 6.1067, 5.9012, 6.0674, 6.169, 5.9293]",0,856.0,1119.0,991,2227
fe_cr,mn,"[6.093, 6.065]",[6.2157],0,0.0,146.0,1923,2070
fe_cr,fe,"[6.093, 6.065]",[6.065],1,0.0,144.0,1909,2054
fe_cr,cr,"[6.093, 6.065]",[6.0626],0,0.0,131.0,1852,1997
fe_cr,nao3,"[6.093, 6.065]","[6.0863, 6.202, 5.9162, 6.6791, 6.0813, 6.1717, 5.9158, 6.0447]",0,1019.0,1330.0,818,2154
